row_id,trip_id,station_name,event_type,scheduled_time,actual_time,delay_seconds,day_of_week,hour_of_day,service_date,punctuality_status,delay_bucket,peak_status,day_type
119,1|64470|3|86|24012025,Schönhauser Allee/Bornholmer Str. (Berlin),arrival,2025-01-24 04:44:00,2025-01-24 04:37:00,-420.0,5,4,2025-01-24,early,more_than_5min_early,off_peak,weekday
120,1|64484|4|86|24012025,Schönhauser Allee/Bornholmer Str. (Berlin),arrival,2025-01-24 04:44:00,2025-01-24 04:45:00,60.0,5,4,2025-01-24,punctual,on_time,off_peak,weekday
121,1|64484|4|86|24012025,Schönhauser Allee/Bornholmer Str. (Berlin),departure,2025-01-24 04:44:00,2025-01-24 04:45:00,60.0,5,4,2025-01-24,punctual,on_time,off_peak,weekday
122,1|64470|3|86|24012025,Schönhauser Allee/Bornholmer Str. (Berlin),departure,2025-01-24 04:44:00,2025-01-24 04:37:00,-420.0,5,4,2025-01-24,early,more_than_5min_early,off_peak,weekday
123,1|64470|3|86|24012025,Antonplatz (Berlin),arrival,2025-01-24 04:54:00,2025-01-24 04:47:00,-420.0,5,4,2025-01-24,early,more_than_5min_early,off_peak,weekday
124,1|64484|6|86|24012025,Antonplatz (Berlin),arrival,2025-01-24 04:54:00,2025-01-24 04:54:00,0.0,5,4,2025-01-24,punctual,on_time,off_peak,weekday
125,1|64470|3|86|24012025,Antonplatz (Berlin),departure,2025-01-24 04:54:00,2025-01-24 04:47:00,-420.0,5,4,2025-01-24,early,more_than_5min_early,off_peak,weekday
126,1|64484|6|86|24012025,Antonplatz (Berlin),departure,2025-01-24 04:54:00,2025-01-24 04:54:00,0.0,5,4,2025-01-24,punctual,on_time,off_peak,weekday
127,1|64484|5|86|24012025,Schönhauser Allee/Bornholmer Str. (Berlin),arrival,2025-01-24 04:54:00,2025-01-24 04:55:00,60.0,5,4,2025-01-24,punctual,on_time,off_peak,weekday
128,1|64470|4|86|24012025,Schönhauser Allee/Bornholmer Str. (Berlin),arrival,2025-01-24 04:54:00,2025-01-24 04:37:00,-1020.0,5,4,2025-01-24,early,more_than_5min_early,off_peak,weekday
129,1|64470|4|86|24012025,Schönhauser Allee/Bornholmer Str. (Berlin),departure,2025-01-24 04:54:00,2025-01-24 04:37:00,-1020.0,5,4,2025-01-24,early,more_than_5min_early,off_peak,weekday
130,1|64484|5|86|24012025,Schönhauser Allee/Bornholmer Str. (Berlin),departure,2025-01-24 04:54:00,2025-01-24 04:55:00,60.0,5,4,2025-01-24,punctual,on_time,off_peak,weekday
131,1|64465|1|86|24012025,Antonplatz (Berlin),arrival,2025-01-24 05:32:00,2025-01-24 05:34:00,120.0,5,5,2025-01-24,late,1_to_5min_late,off_peak,weekday
132,1|64465|1|86|24012025,Antonplatz (Berlin),departure,2025-01-24 05:32:00,2025-01-24 05:34:00,120.0,5,5,2025-01-24,late,1_to_5min_late,off_peak,weekday
133,1|64465|2|86|24012025,Schönhauser Allee/Bornholmer Str. (Berlin),arrival,2025-01-24 05:32:00,2025-01-24 05:31:00,-60.0,5,5,2025-01-24,punctual,1_to_5min_early,off_peak,weekday
134,1|64465|2|86|24012025,Schönhauser Allee/Bornholmer Str. (Berlin),departure,2025-01-24 05:32:00,2025-01-24 05:31:00,-60.0,5,5,2025-01-24,punctual,1_to_5min_early,off_peak,weekday
135,1|64500|1|86|24012025,Antonplatz (Berlin),arrival,2025-01-24 05:36:00,2025-01-24 05:34:00,-120.0,5,5,2025-01-24,early,1_to_5min_early,off_peak,weekday
